fk_codigo_Filial,CodigoTransacao,DataTransacao
1,323248,20/12/2022
1,251457,06/07/2022
1,212209,02/04/2022
1,166715,26/11/2021
1,166319,26/11/2021
1,319608,12/12/2022
1,167345,29/11/2021
1,296715,26/10/2022
1,182052,11/01/2022
1,166949,29/11/2021
1,326458,28/12/2022
1,341609,06/02/2023
1,224222,03/05/2022
1,178761,03/01/2022
1,150843,15/10/2021
1,238361,03/06/2022
1,142631,17/09/2021
1,221028,25/04/2022
1,178462,30/12/2021
1,297007,26/10/2022
1,231622,18/05/2022
1,284865,26/09/2022
1,224514,03/05/2022
1,281238,16/09/2022
1,335634,23/01/2023
1,236272,30/05/2022
1,161471,15/11/2021
1,222213,27/04/2022
1,200641,07/03/2022
1,255608,15/07/2022
1,228878,12/05/2022
1,334241,18/01/2023
1,319540,12/12/2022
1,189333,01/02/2022
1,177342,28/12/2021
1,256107,18/07/2022
1,237760,02/06/2022
1,145986,30/09/2021
1,153518,21/10/2021
1,337527,27/01/2023
1,324633,22/12/2022
1,229170,12/05/2022
1,152140,19/10/2021
1,220960,25/04/2022
1,181301,10/01/2022
1,227514,10/05/2022
1,227118,10/05/2022
1,292079,13/10/2022
1,288113,04/10/2022
1,284057,23/09/2022
1,142459,17/09/2021
1,290715,10/10/2022
1,281170,16/09/2022
1,256003,18/07/2022
1,349009,23/02/2023
1,238052,02/06/2022
1,314887,01/12/2022
1,260642,26/07/2022
1,199959,04/03/2022
1,195180,16/02/2022
1,280350,14/09/2022
1,190523,04/02/2022
1,293777,18/10/2022
1,227806,10/05/2022
1,192272,09/02/2022
1,334173,18/01/2023
1,288405,04/10/2022
1,303753,14/11/2022
1,204099,15/03/2022
1,207113,21/03/2022
1,183445,15/01/2022
1,332470,16/01/2023
1,303315,11/11/2022
1,335039,20/01/2023
1,298153,31/10/2022
1,283088,22/09/2022
1,244105,18/06/2022
1,322053,17/12/2022
1,248893,29/06/2022
1,153450,21/10/2021
1,153929,22/10/2021
1,313075,28/11/2022
1,286876,29/09/2022
1,339148,31/01/2023
1,152072,19/10/2021
1,175871,22/12/2021
1,181233,10/01/2022
1,344587,11/02/2023
1,237089,01/06/2022
1,287496,03/10/2022
1,292011,13/10/2022
1,204391,15/03/2022
1,203995,15/03/2022
1,282091,20/09/2022
1,282487,20/09/2022
1,341046,04/02/2023
1,276609,06/09/2022
1,208369,23/03/2022
1,298445,31/10/2022
1,263406,03/08/2022
1,180211,06/01/2022
1,255935,18/07/2022
1,260574,26/07/2022
1,208759,24/03/2022
1,257548,21/07/2022
1,153825,22/10/2021
1,158325,04/11/2021
1,281398,17/09/2022
1,152364,19/10/2021
1,234296,24/05/2022
1,210530,29/03/2022
1,210926,29/03/2022
1,176163,22/12/2021
1,151968,19/10/2021
1,192204,09/02/2022
1,175767,22/12/2021
1,269122,17/08/2022
1,268726,17/08/2022
1,243712,17/06/2022
1,181525,10/01/2022
1,288337,04/10/2022
1,198603,01/03/2022
1,162067,16/11/2021
1,161671,16/11/2021
1,236741,31/05/2022
1,276901,06/09/2022
1,276505,06/09/2022
1,336892,25/01/2023
1,207045,21/03/2022
1,202893,11/03/2022
1,247626,27/06/2022
1,191234,07/02/2022
1,184217,18/01/2022
1,213203,05/04/2022
1,283020,22/09/2022
1,335223,22/01/2023
1,327082,29/12/2022
1,284166,24/09/2022
1,270331,21/08/2022
1,166122,25/11/2021
1,171425,10/12/2021
1,165726,25/11/2021
1,171029,10/12/2021
1,307253,21/11/2022
1,338529,30/01/2023
1,270591,22/08/2022
1,286808,29/09/2022
1,281853,19/09/2022
1,266198,10/08/2022
1,236024,29/05/2022
1,141880,15/09/2021
1,237417,01/06/2022
1,348173,22/02/2023
1,141484,15/09/2021
1,144118,23/09/2021
1,328327,04/01/2023
1,321259,15/12/2022
1,225327,05/05/2022
1,333685,17/01/2023
1,214542,09/04/2022
1,142014,16/09/2021
1,159354,08/11/2021
1,243933,18/06/2022
1,289477,06/10/2022
1,216004,13/04/2022
1,307941,21/11/2022
1,307545,21/11/2022
1,166018,25/11/2021
1,209105,25/03/2022
1,286704,29/09/2022
1,193865,14/02/2022
1,160932,11/11/2021
1,281749,19/09/2022
1,234228,24/05/2022
1,211207,30/03/2022
1,293407,17/10/2022
1,237313,01/06/2022
1,243644,17/06/2022
1,282315,20/09/2022
1,228473,11/05/2022
1,198535,01/03/2022
1,160001,09/11/2021
1,280879,15/09/2022
1,195611,18/02/2022
1,336824,25/01/2023
1,214428,08/04/2022
1,336428,25/01/2023
1,242813,15/06/2022
1,302996,10/11/2022
1,284098,24/09/2022
1,270263,21/08/2022
1,230968,17/05/2022
1,304474,15/11/2022
1,241729,13/06/2022
1,228765,11/05/2022
1,218404,20/04/2022
1,250483,04/07/2022
1,162349,17/11/2021
1,336720,25/01/2023
1,333617,17/01/2023
1,262992,02/08/2022
1,264025,04/08/2022
1,306027,17/11/2022
1,275382,03/09/2022
1,244491,19/06/2022
1,247176,24/06/2022
1,160075,10/11/2021
1,278408,10/09/2022
1,278012,10/09/2022
1,346395,16/02/2023
1,223727,02/05/2022
1,345646,14/02/2023
1,327457,02/01/2023
1,305381,16/11/2022
1,171253,10/12/2021
1,338753,30/01/2023
1,343927,10/02/2023
1,209037,25/03/2022
1,330147,09/01/2023
1,310220,23/11/2022
1,175042,20/12/2021
1,174646,20/12/2021
1,144342,23/09/2021
1,143946,23/09/2021
1,162641,17/11/2021
1,263921,04/08/2022
1,140817,14/09/2021
1,191893,08/02/2022
1,191497,08/02/2022
1,252234,07/07/2022
1,302928,10/11/2022
1,346687,16/02/2023
1,279310,12/09/2022
1,224019,02/05/2022
1,347825,21/02/2023
1,321020,14/12/2022
1,269637,19/08/2022
1,214081,07/04/2022
1,344219,10/02/2023
1,219850,23/04/2022
1,147827,07/10/2021
1,183606,17/01/2022
1,324861,23/12/2022
1,147460,06/10/2021
1,308425,22/11/2022
1,308821,22/11/2022
1,330439,09/01/2023
1,267496,13/08/2022
1,174938,20/12/2021
1,304406,15/11/2022
1,168071,01/12/2021
1,150214,14/10/2021
1,296153,25/10/2022
1,290990,11/10/2022
1,245137,20/06/2022
1,146751,04/10/2021
1,280707,15/09/2022
1,281103,15/09/2022
1,300148,03/11/2022
1,305959,17/11/2022
1,277920,09/09/2022
1,155148,25/10/2021
1,311883,25/11/2022
1,292888,15/10/2022
1,315721,03/12/2022
1,166655,26/11/2021
1,345578,14/02/2023
1,308717,22/11/2022
1,217763,19/04/2022
1,272519,26/08/2022
1,304302,15/11/2022
1,271168,23/08/2022
1,145194,28/09/2021
1,201196,08/03/2022
1,235896,27/05/2022
1,310152,23/11/2022
1,317818,08/12/2022
1,248594,28/06/2022
1,297947,28/10/2022
1,255010,14/07/2022
1,212489,04/04/2022
1,192380,10/02/2022
1,213446,06/04/2022
1,221372,26/04/2022
1,254841,13/07/2022
1,254445,13/07/2022
1,161335,12/11/2021
1,312175,25/11/2022
1,339867,01/02/2023
1,246065,22/06/2022
1,347757,21/02/2023
1,235124,25/05/2022
1,217659,19/04/2022
1,182608,12/01/2022
1,182212,12/01/2022
1,324793,23/12/2022
1,295692,24/10/2022
1,315291,01/12/2022
1,310048,23/11/2022
1,310444,23/11/2022
1,255302,14/07/2022
1,245069,20/06/2022
1,204929,16/03/2022
1,300080,03/11/2022
1,218778,21/04/2022
1,172707,14/12/2021
1,297592,27/10/2022
1,235391,26/05/2022
1,201844,10/03/2022
1,299021,01/11/2022
1,308649,22/11/2022
1,325411,26/12/2022
1,148996,11/10/2021
1,295984,24/10/2022
1,177678,28/12/2021
1,291214,11/10/2022
1,158944,06/11/2021
1,209786,26/03/2022
1,201128,08/03/2022
1,193646,13/02/2022
1,286283,28/09/2022
1,313479,28/11/2022
1,240695,09/06/2022
1,167713,30/11/2021
1,186426,24/01/2022
1,254377,13/07/2022
1,312107,25/11/2022
1,329811,07/01/2023
1,171481,11/12/2021
1,202136,10/03/2022
1,195300,17/02/2022
1,256496,19/07/2022
1,198897,02/03/2022
1,326227,27/12/2022
1,189565,01/02/2022
1,325831,27/12/2022
1,242376,14/06/2022
1,287210,30/09/2022
1,240987,09/06/2022
1,204861,16/03/2022
1,332027,13/01/2023
1,234700,24/05/2022
1,158763,05/11/2021
1,272931,29/08/2022
1,154188,23/10/2021
1,297524,27/10/2022
1,274535,31/08/2022
1,146836,05/10/2021
1,295916,24/10/2022
1,285385,27/09/2022
1,148928,11/10/2021
1,334979,20/01/2023
1,148060,08/10/2021
1,209718,26/03/2022
1,317055,06/12/2022
1,280582,14/09/2022
1,340739,03/02/2023
1,286215,28/09/2022
1,152897,20/10/2021
1,339484,31/01/2023
1,185716,22/01/2022
1,204331,15/03/2022
1,245750,21/06/2022
1,199712,03/03/2022
1,199316,03/03/2022
1,149788,13/10/2021
1,244337,18/06/2022
1,308345,21/11/2022
1,242308,14/06/2022
1,210866,29/03/2022
1,186040,23/01/2022
